Latency,Interval
18446744056030404608,0
18446744056030404608,0
18446744056030402560,18446744073709549568
18446744056030402560,0
18446744056030402560,0
18446744056030400512,18446744073709549568
18446744056030400512,0
18446744056030398464,18446744073709549568
18446744056030398464,0
18446744056030398464,0
18446744056030396416,18446744073709549568
18446744056030396416,0
18446744056030394368,18446744073709549568
18446744056030394368,0
18446744056030394368,0
18446744056030394368,0
18446744056030392320,18446744073709549568
18446744056030392320,0
18446744056030392320,0
18446744056030390272,18446744073709549568
18446744056030390272,0
18446744056030390272,0
18446744056030388224,18446744073709549568
18446744056030388224,0
18446744056030386176,18446744073709549568
18446744056030386176,0
18446744056030386176,0
18446744056030384128,18446744073709549568
18446744056030384128,0
18446744056030384128,0
18446744056030382080,18446744073709549568
18446744056030382080,0
18446744056030382080,0
18446744056030380032,18446744073709549568
18446744056030380032,0
18446744056030380032,0
18446744056030377984,18446744073709549568
18446744056030377984,0
18446744056030377984,0
18446744056030375936,18446744073709549568
18446744056030375936,0
18446744056030375936,0
18446744056030373888,18446744073709549568
18446744056030373888,0
18446744056030371840,18446744073709549568
18446744056030371840,0
18446744056030371840,0
18446744056030369792,18446744073709549568
18446744056030369792,0
18446744056030369792,0
18446744056030367744,18446744073709549568
18446744056030367744,0
18446744056030365696,18446744073709549568
18446744056030365696,0
18446744056030365696,0
18446744056030363648,18446744073709549568
18446744056030363648,0
18446744056030363648,0
18446744056030363648,0
18446744056030361600,18446744073709549568
18446744056030361600,0
18446744056030361600,0
18446744056030359552,18446744073709549568
18446744056030359552,0
18446744056030359552,0
18446744056030357504,18446744073709549568
18446744056030357504,0
18446744056030355456,18446744073709549568
18446744056030355456,0
18446744056030355456,0
18446744056030353408,18446744073709549568
18446744056030353408,0
18446744056030353408,0
18446744056030351360,18446744073709549568
18446744056030351360,0
18446744056030349312,18446744073709549568
18446744056030349312,0
18446744056030349312,0
18446744056030347264,18446744073709549568
18446744056030347264,0
18446744056030347264,0
18446744056030345216,18446744073709549568
18446744056030345216,0
18446744056030345216,0
18446744056030343168,18446744073709549568
18446744056030343168,0
18446744056030341120,18446744073709549568
18446744056030341120,0
18446744056030341120,0
18446744056030339072,18446744073709549568
18446744056030339072,0
18446744056030339072,0
18446744056030337024,18446744073709549568
18446744056030337024,0
18446744056030334976,18446744073709549568
18446744056030334976,0
18446744056030334976,0
18446744056030332928,18446744073709549568
18446744056030332928,0
18446744056030332928,0
18446744056030330880,18446744073709549568
18446744056030330880,0
18446744056030330880,0
18446744056030328832,18446744073709549568
18446744056030328832,0
18446744056030328832,0
18446744056030328832,0
18446744056030326784,18446744073709549568
18446744056030326784,0
18446744056030326784,0
18446744056030324736,18446744073709549568
18446744056030324736,0
18446744056030322688,18446744073709549568
18446744056030322688,0
18446744056030322688,0
18446744056030320640,18446744073709549568
18446744056030320640,0
18446744056030320640,0
18446744056030318592,18446744073709549568
18446744056030318592,0
18446744056030318592,0
18446744056030316544,18446744073709549568
18446744056030316544,0
18446744056030314496,18446744073709549568
18446744056030314496,0
18446744056030314496,0
18446744056030312448,18446744073709549568
18446744056030312448,0
18446744056030312448,0
18446744056030310400,18446744073709549568
18446744056030310400,0
18446744056030308352,18446744073709549568
18446744056030308352,0
18446744056030308352,0
18446744056030306304,18446744073709549568
18446744056030306304,0
18446744056030306304,0
18446744056030304256,18446744073709549568
18446744056030304256,0
18446744056030302208,18446744073709549568
